emotion,text,clean_text
anger,"Soal jln Jatibaru,polisi tdk bs GERTAK gubernur .Emangny polisi tdk ikut pmbhasan? Jgn berpolitik. Pengaturan wilayah,hak gubernur. Persoalan Tn Abang soal turun temurun.Pelik.Perlu kesabaran. [USERNAME] [USERNAME] [URL]",soal jalan  jatibarupolisi bisa gertak gubernur emangny polisi ikut pmbhasan jangan berpolitik pengaturan wilayahhak gubernur persoalan tn abang soal turun temurunpelikperlu kesabaran username username url
anger,"Sesama cewe lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malem sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat.",sesama cewek  lho kayaknya harusnya lebih rasain lah harus sibuk jaga diri rasain sakitnya haid paniknya pulang malam  sendirian gimana orang asing wajarlah banyak korban takut curhat bukan dibela malah dihujat
happy,"Kepingin gudeg mbarek Bu hj. Amad Foto dari google, sengaja, biar teman-teman jg membayangkannya. Berbagi itu indah.",kepingin gudeg mbarek bu hj amad foto google sengaja biar temanteman membayangkannya berbagi indah
anger,"Jln Jatibaru,bagian dari wilayah Tn Abang.Pengaturan wilayah tgg jwb dan wwnang gub.Tng Abng soal rumit,sejak gub2 , trdahulu.Skrg sedng dibenahi,agr bermnfaat semua pihak.Mohon yg punya otak,berpikirlah dgn wajar,kecuali otaknya butek.Ya kamu. [URL]",jalan  jatibarubagian wilayah tn abangpengaturan wilayah tgg jawab  wwnang gubtng abng soal rumitsejak gub trdahuluskrg sedng dibenahiagr bermnfaat semua pihakmohon  punya otakberpikirlah  wajarkecuali otaknya butekya kamu url
happy,"Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun pasar senen, lancar, antrian tidak terlalu rame,15 menitan dan beress semua! Mungkin bisa dicoba twips, di jam-jam segitu  cc [USERNAME]",sharing pengalaman  kemarin jam batalin tiket stasiun pasar senin  lancar antrian terlalu ramai  menitan beress semua mungkin dicoba twips jamjam segitu cc username
anger,"Dari sekian banyak thread yang aku baca, thread ini paling aneh sih dalam penulisan. Sumpah aneh bgt, mau ngatain ""lebay"" aja segala bikin thread hadeh. Aku juga ga jago nulis, tapi tulisan aku ga seberantakan thread mbaknya.",sekian banyak thread baca thread paling aneh sih penulisan sumpah aneh sangat  mau ngatain lebay  segala bikin thread aduh  juga jago nulis tulisan saya tidak seberantakan thread mbaknya
happy,Sharing sama temen tuh emg guna bgt. Disaat lu ngerasa masalah lu berat bgt ternyata temen kita sendiri punya masalah lebih berat dr kita. Malah masalah kita ngga ada apa2nya dibanding masalah dia.,sharing sama teman  tuh memang sangat  disaat kamu merasa  masalah kamu berat sangat  ternyata teman  sendiri punya masalah lebih berat  malah masalah tidak apanya dibanding masalah
sadness,"Orang lain kalau pake ponco itu buat jas hujan, nah dia pake buat kasur. Ya tadi gara2 saking gak punya apa2. Mamak bilang, kami tuh di awal pernikan gak ada ngalamin bulan madu kayak skrg2. Org tidur nya aja pake ponco. Gimane mau bulan madu.",orang kalau pakai  ponco buat jas hujan nah pakai  buat kasur tadi gara saking punya apa mamak bilang tuh awal pernikan ada ngalamin bulan madu mirip  sekarang  orang tidur nya  pakai  ponco gimane mau bulan madu
anger,"Contoh mereka yg gemar menyudutkan, teriak paling toleran tp gemar menuduh, gemar men-judge seseorang berdasarkan versi mereka. Cukup tau saja.",contoh yang  gemar menyudutkan teriak paling toleran gemar menuduh gemar menjudge seseorang berdasarkan versi cukup tahu
sadness,Pulang udah H-4 lebaran dilema sekali. Seperti tidak bisa melakukan apa2 dirumah sebelum lebaran. Buka puasa bareng cuman 3 hari sama keluarga begitu juga sahur.,pulang h lebaran dilema sekali tidak melakukan apa dirumah lebaran buka puasa bareng hari sama keluarga juga sahur
